question_text,unit_id,marks,question_type,co_id,bloom_level
"The vanishing gradient problem occurs mainly in ______ neural networks.",2,0.5,Fill_Blank,CO2,K1
"ReLU activation outputs zero for ______ inputs.",2,0.5,Fill_Blank,CO2,K1
"Dropout is a technique used to prevent ______.",2,0.5,Fill_Blank,CO2,K1
"L1 regularization adds ______ penalty to the loss function.",2,0.5,Fill_Blank,CO2,K1
"L2 regularization is also known as ______ decay.",2,0.5,Fill_Blank,CO2,K1
"Momentum helps accelerate gradient descent by adding a fraction of ______ update.",2,0.5,Fill_Blank,CO2,K1
"Nesterov’s Accelerated Gradient uses ______ lookahead.",2,0.5,Fill_Blank,CO2,K1
"Batch Normalization normalizes layer inputs during ______.",2,0.5,Fill_Blank,CO2,K1
"The exploding gradient problem causes gradients to become very ______.",2,0.5,Fill_Blank,CO2,K1
"Regularization improves the ______ ability of a model.",2,0.5,Fill_Blank,CO2,K1
"Dropout randomly removes ______ during training.",2,0.5,Fill_Blank,CO2,K1
"Sigmoid activation suffers from ______ gradient problem.",2,0.5,Fill_Blank,CO2,K1
"ReLU helps mitigate the vanishing gradient problem. Write True or False",2,0.5,True_False,CO2,K1
"Batch Normalization reduces internal covariate shift. Write True or False.",2,0.5,True_False,CO2,K1
"Gradient descent always guarantees global minimum. Write True or False.",2,0.5,True_False,CO2,K1
"Momentum reduces oscillations in gradient descent. Write True or False.",2,0.5,True_False,CO2,K1
"Dropout is applied during inference time. Write True or False.",2,0.5,True_False,CO2,K1
"L1 regularization can produce sparse weights. Write True or False.",2,0.5,True_False,CO2,K1
"Exploding gradients are common in very deep networks. Write True or False.",2,0.5,True_False,CO2,K1
"Adam optimizer combines momentum and ______.",2,0.5,Fill_Blank,CO2,K1
"Mini-batch gradient descent updates weights using ______ samples.",2,0.5,Fill_Blank,CO2,K1
"Regularization terms are added to the ______ function.",2,0.5,Fill_Blank,CO2,K1
"The purpose of normalization is to improve training ______.",2,0.5,Fill_Blank,CO2,K1
"Dropout acts as an ensemble of ______ networks.",2,0.5,Fill_Blank,CO2,K1
"The learning rate that is too high may cause ______.",2,0.5,Fill_Blank,CO2,K1
"Batch Normalization allows higher ______ rates.",2,0.5,Fill_Blank,CO2,K1
"Vanishing gradients slow down learning in ______ layers.",2,0.5,Fill_Blank,CO2,K1
"Weight initialization affects gradient ______.",2,0.5,Fill_Blank,CO2,K1
"Regularization reduces model ______.",2,0.5,Fill_Blank,CO2,K1
"Explain the term gradient descent.",2,2,Descriptive,CO2,K2
"What is the vanishing gradient problem with an example?",2,2,Descriptive,CO2,K2
"Explain the exploding gradient problem.",2,2,Descriptive,CO2,K2
"How does ReLU help in deep neural networks?",2,2,Descriptive,CO2,K2
"Explain the purpose of Dropout Regularization.",2,2,Descriptive,CO2,K2
"Differentiate between L1 and L2 regularization.",2,2,Descriptive,CO2,K2
"Define momentum in gradient descent?",2,2,Descriptive,CO2,K2
"Write a very short note on Batch Normalization.",2,2,Descriptive,CO2,K2
"Why is weight initialization important in neural network?",2,2,Descriptive,CO2,K2
"Explain the effect of too small learning rate with an illustration",2,2,Descriptive,CO2,K2
"Define overfitting in neural networks with an example.",2,2,Descriptive,CO2,K2
"How does regularization improve generalization?",2,2,Descriptive,CO2,K2
"Explain internal covariate shift and give an example.",2,2,Descriptive,CO2,K2
"What is Nesterov’s Accelerated Gradient?",2,2,Descriptive,CO2,K2
"Explain why deep networks suffer from vanishing gradients.",2,2,Descriptive,CO2,K2
"Explain gradient descent and its variants.",2,10,Long Answer,CO2,K3
"Describe the vanishing gradient problem and its solutions.",2,10,Long Answer,CO2,K3
"Explain the exploding gradient problem with remedies and its disadvantages.",2,10,Long Answer,CO2,K3
"Discuss ReLU activation and its variants.",2,10,Long Answer,CO2,K3
"Explain Dropout regularization in detail.",2,10,Long Answer,CO2,K3
"Describe Batch Normalization with algorithmic steps.",2,10,Long Answer,CO2,K3
"Compare L1 and L2 regularization techniques.",2,10,Long Answer,CO2,K3
"Explain momentum-based optimization methods.",2,10,Long Answer,CO2,K3
"Discuss the impact of learning rate on convergence.",2,10,Long Answer,CO2,K3
"Explain different weight initialization strategies.",2,10,Long Answer,CO2,K3
"Explain gradient descent optimization techniques used in deep learning.",2,14,Essay,CO2,K4
"Discuss the vanishing gradient problem with mathematical intuition.",2,14,Essay,CO2,K4
"Analyze the exploding gradient problem and prevention methods.",2,14,Essay,CO2,K4
"Explain ReLU and advanced activation functions in deep networks.",2,14,Essay,CO2,K4
"Discuss Dropout as a regularization technique with examples.",2,14,Essay,CO2,K4
"Explain Batch Normalization and its effect on training speed.",2,14,Essay,CO2,K4
"Compare different optimization algorithms used in neural networks.",2,14,Essay,CO2,K4
"Explain the role of momentum in accelerating convergence.",2,14,Essay,CO2,K4
"Discuss L1 and L2 regularization in detail and explain where it can be applicable.",2,14,Essay,CO2,K4
"Explain the importance of proper weight initialization in neural network.",2,14,Essay,CO2,K4
"Analyze the effect of learning rate on stability and convergence in a neural network.",2,14,Essay,CO2,K4
"Discuss heuristics used for faster training of deep networks with an example.",2,14,Essay,CO2,K4
"Explain overfitting and methods to prevent it and give mathematical intutions.",2,14,Essay,CO2,K4
"Describe normalization techniques used in deep learning and its limitations.",2,14,Essay,CO2,K4
"Explain how regularization improves model generalization.",2,14,Essay,CO2,K4
"Compare and contrast Batch Gradient Descent, Stochastic Gradient Descent, and Mini-batch Gradient Descent.",2,14,Essay,CO2,K4
"Explain the role of optimization in neural network training.",2,14,Essay,CO2,K4
"Discuss challenges in training very deep neural networks.",2,14,Essay,CO2,K4
"Explain the bias–variance tradeoff in deep learning with a flowchart.",2,14,Essay,CO2,K4
"Explain how modern optimizers overcome limitations of vanilla gradient descent.",2,14,Essay,CO2,K4
"The primary function of convolutional layers is to extract ______ from input data.",3,0.5,Fill_Blank,CO3,K1
"A convolutional neural network is particularly effective for ______ data.",3,0.5,Fill_Blank,CO3,K1
"Pooling layers reduce the ______ dimensions of feature maps.",3,0.5,Fill_Blank,CO3,K1
"Max pooling selects the ______ value from the pooling window.",3,0.5,Fill_Blank,CO3,K1
"Average pooling computes the ______ of values in the pooling window.",3,0.5,Fill_Blank,CO3,K1
"ReLU is commonly used as an activation function in CNNs. Write True or False.",3,0.5,True_False,CO3,K1
"The filter used in convolution is also called a ______.",3,0.5,Fill_Blank,CO3,K1
"Stride refers to the ______ movement of the convolution filter.",3,0.5,Fill_Blank,CO3,K1
"Padding is used to ______ the spatial size of feature maps.",3,0.5,Fill_Blank,CO3,K1
"A CNN uses shared weights in convolutional layers. Write True or False.",3,0.5,True_False,CO3,K1
"Pooling layers contain trainable parameters. Write True or False.",3,0.5,True_False,CO3,K1
"Convolution captures ______ features from the input.",3,0.5,Fill_Blank,CO3,K1
"Feature maps are the output of ______ layers.",3,0.5,Fill_Blank,CO3,K1
"In CNNs, deeper layers capture more ______ features.",3,0.5,Fill_Blank,CO3,K1
"The receptive field represents the ______ region of the input.",3,0.5,Fill_Blank,CO3,K1
"Zero padding adds ______ around the input image.",3,0.5,Fill_Blank,CO3,K1
"CNNs reduce the number of parameters using ______ sharing.",3,0.5,Fill_Blank,CO3,K1
"Pooling improves ______ invariance.",3,0.5,Fill_Blank,CO3,K1
"Flattening converts feature maps into a ______ vector.",3,0.5,Fill_Blank,CO3,K1
"The output of convolution depends on filter size, stride, and ______.",3,0.5,Fill_Blank,CO3,K1
"CNNs are widely used in ______ recognition tasks.",3,0.5,Fill_Blank,CO3,K1
"A 1×1 convolution is mainly used for ______ reduction.",3,0.5,Fill_Blank,CO3,K1
"Pooling helps reduce ______ cost.",3,0.5,Fill_Blank,CO3,K1
"Convolutional layers preserve the ______ structure of input.",3,0.5,Fill_Blank,CO3,K1
"Transfer learning uses ______ CNN models.",3,0.5,Fill_Blank,CO3,K1
"Fine-tuning adjusts the ______ layers of a pre-trained network.",3,0.5,Fill_Blank,CO3,K1
"CNNs are invariant to small ______ changes.",3,0.5,Fill_Blank,CO3,K1
"The depth of a CNN refers to the number of ______.",3,0.5,Fill_Blank,CO3,K1
"Pooling layers help control ______.",3,0.5,Fill_Blank,CO3,K1
"CNNs require less ______ compared to fully connected networks.",3,0.5,Fill_Blank,CO3,K1
"Explain the role of convolution in CNNs.",3,2,Descriptive,CO3,K2
"What is the purpose of pooling layers?",3,2,Descriptive,CO3,K2
"Differentiate between max pooling and average pooling.",3,2,Descriptive,CO3,K2
"Explain the concept of stride in convolution.",3,2,Descriptive,CO3,K2
"What is padding and why is it used?",3,2,Descriptive,CO3,K2
"Explain weight sharing in CNNs.",3,2,Descriptive,CO3,K2
"What is a feature map?",3,2,Descriptive,CO3,K2
"Explain the importance of ReLU in CNNs.",3,2,Descriptive,CO3,K2
"Differentiate between convolutional and fully connected layers.",3,2,Descriptive,CO3,K2
"What is the receptive field in CNNs?",3,2,Descriptive,CO3,K2
"Explain hierarchical feature extraction in CNNs.",3,2,Descriptive,CO3,K2
"What is transfer learning in CNNs?",3,2,Descriptive,CO3,K2
"Explain fine-tuning in transfer learning.",3,2,Descriptive,CO3,K2
"Why are CNNs suitable for image data?",3,2,Descriptive,CO3,K2
"Explain flattening operation in CNNs.",3,2,Descriptive,CO3,K2
"Explain the working of a convolutional neural network with a neat diagram.",3,10,Long Answer,CO3,K3
"Describe the architecture of a typical CNN.",3,10,Long Answer,CO3,K3
"Discuss the role of pooling layers and their impact on performance.",3,10,Long Answer,CO3,K3
"Explain the effect of stride and padding with examples.",3,10,Long Answer,CO3,K3
"Compare different pooling techniques used in CNNs.",3,10,Long Answer,CO3,K3
"Explain transfer learning and its advantages in CNNs.",3,10,Long Answer,CO3,K3
"Discuss hierarchical feature learning in CNNs.",3,10,Long Answer,CO3,K3
"Explain the importance of weight sharing in CNNs.",3,10,Long Answer,CO3,K3
"Describe the role of convolutional filters in feature extraction.",3,10,Long Answer,CO3,K3
"Explain how CNNs reduce computational complexity.",3,10,Long Answer,CO3,K3
"Explain the complete architecture and training process of a convolutional neural network.",3,14,Essay,CO3,K4
"Discuss convolution, pooling, and activation layers in CNNs.",3,14,Essay,CO3,K4
"Analyze the effect of stride, padding, and filter size on CNN performance.",3,14,Essay,CO3,K4
"Explain hierarchical feature extraction in deep CNNs.",3,14,Essay,CO3,K4
"Discuss transfer learning using pre-trained CNN models.",3,14,Essay,CO3,K4
"Explain the advantages and limitations of convolutional neural networks.",3,14,Essay,CO3,K4
"Compare CNNs with traditional machine learning approaches for image tasks.",3,14,Essay,CO3,K4
"Explain the mathematical operation of convolution in CNNs.",3,14,Essay,CO3,K4
"Discuss the role of pooling layers in achieving spatial invariance.",3,14,Essay,CO3,K4
"Explain the importance of ReLU and other activation functions in CNNs.",3,14,Essay,CO3,K4
"Analyze how CNNs handle high-dimensional image data.",3,14,Essay,CO3,K4
"Discuss fine-tuning strategies in transfer learning.",3,14,Essay,CO3,K4
"Explain how CNNs generalize well on unseen image data.",3,14,Essay,CO3,K4
"Describe the impact of depth on CNN performance.",3,14,Essay,CO3,K4
"Explain data augmentation techniques used with CNNs.",3,14,Essay,CO3,K4
"Discuss overfitting issues in CNNs and mitigation methods.",3,14,Essay,CO3,K4
"Explain the role of CNNs in object detection.",3,14,Essay,CO3,K4
"Compare shallow CNNs and deep CNN architectures.",3,14,Essay,CO3,K4
"Discuss computational challenges in training CNNs.",3,14,Essay,CO3,K4
"Explain why CNNs outperform fully connected networks for vision tasks.",3,14,Essay,CO3,K4
"The full form of RNN is _______.",4,0.5,Fill_Blank,CO4,K1
"Recurrent Neural Networks are designed for ______ data.",4,0.5,Fill_Blank,CO4,K1
"RNNs maintain information using ______ connections.",4,0.5,Fill_Blank,CO4,K1
"The vanishing gradient problem is severe in ______ networks.",4,0.5,Fill_Blank,CO4,K1
"LSTM stands for ______ Short-Term Memory.",4,0.5,Fill_Blank,CO4,K1
"LSTM networks use gates to control ______ flow.",4,0.5,Fill_Blank,CO4,K1
"The gate responsible for forgetting information in LSTM is the ______ gate.",4,0.5,Fill_Blank,CO4,K1
"The output gate in LSTM controls the ______ of the cell state.",4,0.5,Fill_Blank,CO4,K1
"GRU stands for ______ Recurrent Unit.",4,0.5,Fill_Blank,CO4,K1
"GRUs have fewer gates than LSTMs.",4,0.5,True_False,CO4,K1
"Autoencoders are typically trained using ______ learning.",4,0.5,Fill_Blank,CO4,K1
"An autoencoder consists of an encoder and a ______.",4,0.5,Fill_Blank,CO4,K1
"Denoising autoencoders are trained to reconstruct ______ inputs.",4,0.5,Fill_Blank,CO4,K1
"Variational Autoencoders introduce ______ into the latent space.",4,0.5,Fill_Blank,CO4,K1
"GAN stands for ______ Adversarial Network.",4,0.5,Fill_Blank,CO4,K1
"A GAN consists of a generator and a ______.",4,0.5,Fill_Blank,CO4,K1
"The generator in GANs tries to ______ the discriminator.",4,0.5,Fill_Blank,CO4,K1
"The discriminator outputs a probability indicating ______.",4,0.5,Fill_Blank,CO4,K1
"GANs are an example of ______ models.",4,0.5,Fill_Blank,CO4,K1
"Encoder–Decoder architecture is widely used in ______ tasks.",4,0.5,Fill_Blank,CO4,K1
"Sequence-to-sequence models are commonly built using ______ networks.",4,0.5,Fill_Blank,CO4,K1
"LSTMs help overcome the ______ gradient problem.",4,0.5,Fill_Blank,CO4,K1
"RNNs share parameters across ______ steps.",4,0.5,Fill_Blank,CO4,K1
"The hidden state in RNN acts as a ______.",4,0.5,Fill_Blank,CO4,K1
"Autoencoders aim to minimize ______ error.",4,0.5,Fill_Blank,CO4,K1
"GAN training is formulated as a ______ game.",4,0.5,Fill_Blank,CO4,K1
"The latent space represents a ______ representation of data.",4,0.5,Fill_Blank,CO4,K1
"GRUs combine the forget and input gates into a ______ gate.",4,0.5,Fill_Blank,CO4,K1
"VAEs generate new data by sampling from a ______ distribution.",4,0.5,Fill_Blank,CO4,K1
"RNNs are widely used in ______ modeling tasks.",4,0.5,Fill_Blank,CO4,K1
"Explain the working principle of Recurrent Neural Networks.",4,2,Descriptive,CO4,K2
"What is the vanishing gradient problem in RNNs?",4,2,Descriptive,CO4,K2
"Explain the role of hidden state in RNNs.",4,2,Descriptive,CO4,K2
"Differentiate between RNN and LSTM.",4,2,Descriptive,CO4,K2
"Explain the function of gates in LSTM.",4,2,Descriptive,CO4,K2
"What is a GRU and how is it different from LSTM?",4,2,Descriptive,CO4,K2
"Explain the concept of Autoencoders.",4,2,Descriptive,CO4,K2
"Differentiate between Autoencoders and Variational Autoencoders.",4,2,Descriptive,CO4,K2
"What is the role of the encoder in Encoder–Decoder models?",4,2,Descriptive,CO4,K2
"Explain the working of the generator in GANs.",4,2,Descriptive,CO4,K2
"Explain the role of discriminator in GANs.",4,2,Descriptive,CO4,K2
"What is latent space in generative models?",4,2,Descriptive,CO4,K2
"Explain denoising autoencoders.",4,2,Descriptive,CO4,K2
"Why are LSTMs preferred over vanilla RNNs?",4,2,Descriptive,CO4,K2
"Explain sequence-to-sequence learning.",4,2,Descriptive,CO4,K2
"Explain the architecture and working of Recurrent Neural Networks.",4,10,Long Answer,CO4,K3
"Describe LSTM cell architecture with neat diagram.",4,10,Long Answer,CO4,K3
"Compare LSTM and GRU architectures.",4,10,Long Answer,CO4,K3
"Explain the vanishing gradient problem in RNNs and its solutions.",4,10,Long Answer,CO4,K3
"Describe the working of Autoencoders with applications.",4,10,Long Answer,CO4,K3
"Explain Variational Autoencoders with mathematical intuition.",4,10,Long Answer,CO4,K3
"Describe the architecture and training process of GANs.",4,10,Long Answer,CO4,K3
"Explain Encoder–Decoder architecture with examples.",4,10,Long Answer,CO4,K3
"Discuss applications of RNNs and LSTMs.",4,10,Long Answer,CO4,K3
"Explain challenges involved in training GANs.",4,10,Long Answer,CO4,K3
"Explain RNN architecture, training, and limitations in detail.",4,14,Essay,CO4,K4
"Discuss LSTM networks with detailed cell operations.",4,14,Essay,CO4,K4
"Analyze the differences between RNN, LSTM, and GRU.",4,14,Essay,CO4,K4
"Explain Autoencoders and their variants with applications.",4,14,Essay,CO4,K4
"Discuss Variational Autoencoders and their advantages over standard autoencoders.",4,14,Essay,CO4,K4
"Explain GAN architecture and adversarial training mechanism.",4,14,Essay,CO4,K4
"Discuss challenges in training GANs and possible solutions.",4,14,Essay,CO4,K4
"Explain Encoder–Decoder models with applications in NLP.",4,14,Essay,CO4,K4
"Analyze the vanishing gradient problem in recurrent networks.",4,14,Essay,CO4,K4
"Explain sequence modeling using RNNs and LSTMs.",4,14,Essay,CO4,K4
"Discuss the importance of gating mechanisms in LSTM.",4,14,Essay,CO4,K4
"Explain the mathematical formulation of LSTM networks.",4,14,Essay,CO4,K4
"Compare Autoencoders and GANs as generative models.",4,14,Essay,CO4,K4
"Explain how VAEs generate new data samples.",4,14,Essay,CO4,K4
"Discuss real-world applications of GANs.",4,14,Essay,CO4,K4
"Analyze the role of latent space in generative models.",4,14,Essay,CO4,K4
"Explain RNN backpropagation through time (BPTT).",4,14,Essay,CO4,K4
"Discuss limitations of recurrent neural networks.",4,14,Essay,CO4,K4
"Explain attention mechanism as an extension to RNNs.",4,14,Essay,CO4,K4
"Discuss future trends in sequence modeling architectures.",4,14,Essay,CO4,K4
"The process of dividing an image into multiple regions is called ______.",5,0.5,Fill_Blank,CO5,K1
"Image classification assigns a single ______ to an image.",5,0.5,Fill_Blank,CO5,K1
"Object detection identifies both ______ and ______ of objects.",5,0.5,Fill_Blank,CO5,K1
"YOLO stands for ______ Only Look Once.",5,0.5,Fill_Blank,CO5,K1
"Semantic segmentation assigns a ______ to each pixel.",5,0.5,Fill_Blank,CO5,K1
"Instance segmentation differentiates between ______ objects of the same class.",5,0.5,Fill_Blank,CO5,K1
"Image captioning generates ______ descriptions for images.",5,0.5,Fill_Blank,CO5,K1
"Attention mechanisms help models focus on ______ parts of input.",5,0.5,Fill_Blank,CO5,K1
"Named Entity Recognition is used to identify ______ in text.",5,0.5,Fill_Blank,CO5,K1
"Sentiment analysis determines the ______ of a text.",5,0.5,Fill_Blank,CO5,K1
"YOLO is a ______-stage object detector.",5,0.5,Fill_Blank,CO5,K1
"Region-based CNNs use ______ proposals.",5,0.5,Fill_Blank,CO5,K1
"Semantic segmentation does not distinguish object instances. Write True or False.",5,0.5,True_False,CO5,K1
"Object detection outputs bounding boxes. Write True or False.",5,0.5,True_False,CO5,K1
"Image captioning typically uses CNN and ______ models.",5,0.5,Fill_Blank,CO5,K1
"Video-to-text models capture ______ information.",5,0.5,Fill_Blank,CO5,K1
"NER is an important task in ______ language processing.",5,0.5,Fill_Blank,CO5,K1
"Parsing analyzes the ______ structure of sentences.",5,0.5,Fill_Blank,CO5,K1
"Opinion mining is another name for ______ analysis.",5,0.5,Fill_Blank,CO5,K1
"Recursive Neural Networks are suitable for ______ structures.",5,0.5,Fill_Blank,CO5,K1
"Sentence classification assigns labels to ______.",5,0.5,Fill_Blank,CO5,K1
"Attention improves long-range ______ modeling.",5,0.5,Fill_Blank,CO5,K1
"Transformers rely heavily on ______ mechanisms.",5,0.5,Fill_Blank,CO5,K1
"Object detection is more complex than image classification. Write True or False.",5,0.5,True_False,CO5,K1
"Semantic segmentation provides pixel-level output. Write True or False.",5,0.5,True_False,CO5,K1
"NER systems often use BIO ______.",5,0.5,Fill_Blank,CO5,K1
"Dialogue systems require ______ modeling.",5,0.5,Fill_Blank,CO5,K1
"YOLO predicts bounding boxes using a ______ grid.",5,0.5,Fill_Blank,CO5,K1
"Image captioning combines vision and ______ tasks.",5,0.5,Fill_Blank,CO5,K1
"Attention weights sum to ______.",5,0.5,Fill_Blank,CO5,K1
"Explain the concept of object detection.",5,2,Descriptive,CO5,K2
"Differentiate between image classification and object detection.",5,2,Descriptive,CO5,K2
"Explain semantic segmentation with an example.",5,2,Descriptive,CO5,K2
"Differentiate between semantic and instance segmentation.",5,2,Descriptive,CO5,K2
"What is image captioning?",5,2,Descriptive,CO5,K2
"Explain the role of attention in computer vision.",5,2,Descriptive,CO5,K2
"Describe Named Entity Recognition.",5,2,Descriptive,CO5,K2
"What is sentiment analysis?",5,2,Descriptive,CO5,K2
"Explain syntactic parsing.",5,2,Descriptive,CO5,K2
"Explain semantic parsing.",5,2,Descriptive,CO5,K2
"Explain sentence classification.",5,2,Descriptive,CO5,K2
"What is video-to-text generation?",5,2,Descriptive,CO5,K2
"Explain the role of RNNs in NLP tasks.",5,2,Descriptive,CO5,K2
"Why is attention important in NLP models?",5,2,Descriptive,CO5,K2
"Explain opinion mining.",5,2,Descriptive,CO5,K2
"Explain object detection using YOLO architecture.",5,10,Long Answer,CO5,K3
"Discuss semantic and instance segmentation techniques.",5,10,Long Answer,CO5,K3
"Explain automatic image captioning with architecture.",5,10,Long Answer,CO5,K3
"Describe video-to-text generation using deep learning models.",5,10,Long Answer,CO5,K3
"Explain attention mechanisms in computer vision.",5,10,Long Answer,CO5,K3
"Discuss Named Entity Recognition using deep learning.",5,10,Long Answer,CO5,K3
"Explain sentiment analysis using neural networks.",5,10,Long Answer,CO5,K3
"Describe sentence classification using CNN and RNN.",5,10,Long Answer,CO5,K3
"Explain parsing techniques used in NLP.",5,10,Long Answer,CO5,K3
"Discuss dialogue generation using LSTM networks.",5,10,Long Answer,CO5,K3
"Explain object detection, segmentation, and image classification in detail.",5,14,Essay,CO5,K4
"Discuss YOLO architecture, training, and applications.",5,14,Essay,CO5,K4
"Explain semantic and instance segmentation with use cases.",5,14,Essay,CO5,K4
"Describe automatic image captioning models with diagrams.",5,14,Essay,CO5,K4
"Explain video-to-text generation and its challenges.",5,14,Essay,CO5,K4
"Discuss attention mechanisms in NLP and computer vision.",5,14,Essay,CO5,K4
"Explain Named Entity Recognition techniques and applications.",5,14,Essay,CO5,K4
"Discuss sentiment analysis approaches using deep learning.",5,14,Essay,CO5,K4
"Explain syntactic and semantic parsing in NLP.",5,14,Essay,CO5,K4
"Describe sentence classification using deep learning models.",5,14,Essay,CO5,K4
"Discuss the role of deep learning in computer vision applications.",5,14,Essay,CO5,K4
